iso3,entity_type,pais_original,year,scale,framework,total_score,government,technology_sector,data_infrastructure,vision,governance_ethics,digital_capacity,adaptability,dim_size_maturity,size,maturity,innovation_capacity,human_capital,infrastructure,data_availability,data_representativeness,ranking_detail
AFG,pais,Afghanistan,2020,0-100,3_pillars_10_dims,24.77526625,23.0832408,20.42072997,30.82182799,0.0,15.04989814,41.74,35.54306506,4.413784822,4.413784822,,31.40131472,25.44709036,27.88548397,33.15,31.43,
ALB,pais,Albania,2020,0-100,3_pillars_10_dims,39.99141822,40.54013077,23.55660841,55.87751549,0.0,52.22014183,62.43333333,47.50704791,8.889374271,8.889374271,,32.1978372,29.58261376,42.18782147,68.699725,56.745,
DZA,pais,Algeria,2020,0-100,3_pillars_10_dims,33.46609074,29.00437416,24.23727502,47.15662303,0.0,40.03319431,31.29666667,44.68763568,3.667589097,3.667589097,,33.09378866,35.9504473,37.92153575,51.65833334,51.89,
AGO,pais,Angola,2020,0-100,3_pillars_10_dims,23.78920913,25.62853876,15.68680442,30.05228422,0.0,31.19484129,41.10779762,30.21151614,4.955385917,4.955385917,,25.81256931,16.29245803,27.02684988,31.10000277,32.03,
ATG,pais,Antigua and Barbuda,2020,0-100,3_pillars_10_dims,39.11895697,32.11668931,25.05324045,60.18694115,0.0,41.80381003,42.3075,44.3554472,15.37979441,15.37979441,,34.56615945,25.21376748,49.34957344,64.75,66.46125,
ARG,pais,Argentina,2020,0-100,3_pillars_10_dims,50.75365881,60.89564324,30.60470934,60.76062386,100.0,45.67143258,51.69333333,46.21780703,19.27766507,19.27766507,,37.32348215,35.2129808,44.28714658,71.759725,66.235,
ARM,pais,Armenia,2020,0-100,3_pillars_10_dims,42.71728292,39.05524139,30.1643814,58.93222597,0.0,49.91452781,56.21,50.09643774,12.43028758,12.43028758,,43.57732767,34.48552894,45.2580696,72.27360833,59.265,
AUS,pais,Australia,2020,0-100,3_pillars_10_dims,73.57735529,79.61334913,51.7660162,89.35270052,100.0,86.43536306,64.55666667,67.46136681,27.62135676,27.62135676,,61.98573737,65.69095447,83.9476849,90.14541667,93.965,
AUT,pais,Austria,2020,0-100,3_pillars_10_dims,68.23045596,61.05245999,56.18320161,87.45570628,50.0,59.47862727,66.22666667,68.50454601,36.98876583,36.98876583,,66.29021962,65.27061938,84.84837266,87.07874619,90.44,
AZE,pais,Azerbaijan,2020,0-100,3_pillars_10_dims,46.43710333,47.23257927,31.66213035,60.41660036,0.0,56.34331413,70.88,61.70700296,5.205229747,5.205229747,,51.80644497,37.97471633,48.7003594,71.21944167,61.33,
BHR,pais,Bahrain,2020,0-100,3_pillars_10_dims,54.74871146,47.39761076,37.12763338,79.72089024,0.0,55.26013594,72.37,61.96030709,27.83755657,27.83755657,,50.18470764,33.36063592,82.27366877,74.35400194,82.535,
BGD,pais,Bangladesh,2020,0-100,3_pillars_10_dims,33.00314427,33.56868305,19.98598176,45.45476799,0.0,47.61435946,45.99666667,40.66370607,6.140096946,6.140096946,,29.2566249,24.56122344,32.41624566,41.59305833,62.355,
BRB,pais,Barbados,2020,0-100,3_pillars_10_dims,40.80176579,31.84366108,26.35894088,64.20269542,0.0,27.45381003,46.62083333,53.30000095,17.00486197,17.00486197,,32.6442242,29.42773646,54.54633232,71.60050395,66.46125,
BLR,pais,Belarus,2020,0-100,3_pillars_10_dims,46.10259197,35.32618432,34.44087978,68.5407118,0.0,49.90080324,49.86955556,41.5343785,17.58841912,17.58841912,,39.54190457,46.19231565,51.07852706,66.63860833,87.905,
BEL,pais,Belgium,2020,0-100,3_pillars_10_dims,63.13741606,55.75571693,55.23267196,78.42385928,50.0,56.93178946,57.12333333,58.96774494,39.16724162,39.16724162,,63.80660251,62.72417175,61.43299673,78.40358112,95.435,
BLZ,pais,Belize,2020,0-100,3_pillars_10_dims,31.01452603,19.3670165,24.24881778,49.4277438,0.0,12.41539037,30.00333333,35.04934229,12.04503893,12.04503893,,34.11553842,26.58587599,38.30531471,49.11791668,60.86,
BEN,pais,Benin,2020,0-100,3_pillars_10_dims,31.66787569,33.72015176,19.11259758,42.17087772,0.0,45.27604246,44.39083333,45.21373126,1.533763275,1.533763275,,31.77611811,24.02791135,26.14748315,40.23015,60.135,
BTN,pais,Bhutan,2020,0-100,3_pillars_10_dims,35.37746691,36.44961452,27.17188297,42.51090325,0.0,40.87023327,53.075,51.85322479,13.0076421,13.0076421,,39.01832327,29.48968354,38.5718681,48.37584166,40.585,
BOL,pais,Bolivia,2020,0-100,3_pillars_10_dims,33.0301672,25.40430844,20.59050992,53.09568323,0.0,32.55833341,34.93333333,34.12556701,9.061641331,9.061641331,,28.75674266,23.95314578,39.4857997,53.33125,66.47,
BIH,pais,Bosnia and Herzegovina,2020,0-100,3_pillars_10_dims,36.2498716,25.97742096,24.23661628,58.53557755,0.0,35.82519998,40.69481481,27.38966907,12.19386686,12.19386686,,30.02952955,30.48645243,45.00325766,55.148475,75.455,
BWA,pais,Botswana,2020,0-100,3_pillars_10_dims,33.2730873,28.76225862,24.80455014,46.25245313,0.0,20.47822134,43.99666667,50.57414648,10.05449457,10.05449457,,37.17390429,27.18525155,38.22625107,49.95110833,50.58,
BRA,pais,Brazil,2020,0-100,3_pillars_10_dims,47.46356662,45.01998567,35.92305596,61.44765823,50.0,47.79926782,47.17666667,35.1040082,19.07463905,19.07463905,,43.11859125,45.5759376,45.26797469,74.445,64.63,
BRN,pais,Brunei Darussalam,2020,0-100,3_pillars_10_dims,51.46965077,38.21492262,40.1387252,76.05530449,0.0,24.55402332,67.29611111,61.00955606,21.57940629,21.57940629,,47.02281958,51.81394972,58.91642849,81.54448499,87.705,
BGR,pais,Bulgaria,2020,0-100,3_pillars_10_dims,51.42364323,52.61764971,36.08756372,65.56571625,50.0,54.30029443,56.76,49.41030442,24.53169619,24.53169619,,45.33905027,38.39194471,51.41798207,70.87416668,74.405,
BFA,pais,Burkina Faso,2020,0-100,3_pillars_10_dims,30.9559372,32.55781026,18.79216294,41.51783841,0.0,45.47794123,42.82083333,41.93246646,2.991774727,2.991774727,,33.12994144,20.25477265,28.28170688,45.30180834,50.97,
BDI,pais,Burundi,2020,0-100,3_pillars_10_dims,24.64836027,21.0106036,16.66173007,36.27274713,0.0,11.98512682,39.09416667,32.96312091,1.756280541,1.756280541,,30.47494051,17.75396915,24.84989973,28.61334167,55.355,
CPV,pais,Cabo Verde,2020,0-100,3_pillars_10_dims,35.69529061,32.36270418,23.87139825,50.85176939,0.0,35.63978774,41.50113095,52.30989801,11.95091216,11.95091216,,31.94507407,27.71820853,38.83802463,58.09805278,55.61923077,
KHM,pais,Cambodia,2020,0-100,3_pillars_10_dims,32.14419328,23.76515198,21.73541765,50.93201022,0.0,14.37155273,40.44333333,40.24572187,8.824809669,8.824809669,,36.26443017,20.11701312,39.79936397,54.99666668,58.0,
CMR,pais,Cameroon,2020,0-100,3_pillars_10_dims,29.84896674,29.66746152,21.74974066,38.12969805,0.0,45.84554033,35.90666667,36.9176391,6.622561155,6.622561155,,30.63114963,27.99551118,25.14950248,36.68959166,52.55,
CAN,pais,Canada,2020,0-100,3_pillars_10_dims,73.1576763,80.05786273,58.64874134,80.76642483,100.0,86.80100938,64.12,69.31044153,46.97574624,46.97574624,,60.45737822,68.51309954,60.07128421,87.42799028,94.8,
TCD,pais,Chad,2020,0-100,3_pillars_10_dims,24.68716025,23.35924172,16.19259157,34.50964746,0.0,33.55461235,33.9975,25.88485451,2.590578117,2.590578117,,25.68580583,20.30139078,23.17144237,26.1625,54.195,
CHL,pais,Chile,2020,0-100,3_pillars_10_dims,53.08906864,53.98877908,37.17253183,68.10589502,50.0,49.60811464,55.56333333,60.78366833,16.80367424,16.80367424,,41.60599352,53.10792772,56.67018507,75.7525,71.895,
CHN,pais,China,2020,0-100,3_pillars_10_dims,69.0797888,79.48526511,60.4819369,67.2721644,100.0,85.57794518,77.66833333,54.69478191,59.98919076,59.98919076,,59.57379785,61.88282208,69.75371819,57.92777501,74.135,
COL,pais,Colombia,2020,0-100,3_pillars_10_dims,51.26209685,61.76943115,33.06706399,58.94979542,100.0,49.37078909,54.41,43.29693549,12.15556714,12.15556714,,39.51546948,47.53015534,44.86507794,72.48430833,59.5,
COM,pais,Comoros,2020,0-100,3_pillars_10_dims,27.59246509,22.84505846,22.51329163,37.41904517,0.0,34.33779136,28.95113095,28.09131153,8.874067782,8.874067782,,31.58218608,27.08362104,30.47375197,26.16415278,55.61923077,
COG,pais,Congo,2020,0-100,3_pillars_10_dims,30.6512867,26.46255846,19.90534903,45.5859526,0.0,38.13779136,35.42113095,32.29131153,5.211258218,5.211258218,,29.48218608,25.0226028,29.30886692,41.69399088,65.755,
CRI,pais,Costa Rica,2020,0-100,3_pillars_10_dims,42.55168296,33.47470202,32.27442903,61.90591782,0.0,41.38602426,46.58666667,45.92611715,21.24630025,21.24630025,,43.68613164,31.8908552,51.72581177,68.45194168,65.54,
CIV,pais,Côte D'Ivoire,2020,0-100,3_pillars_10_dims,34.15641551,32.42477338,20.96894251,49.07553062,0.0,47.68917337,39.93113095,42.0787892,4.88082676,4.88082676,,33.19000522,24.83599556,35.80408355,51.88250833,59.54,
HRV,pais,Croatia,2020,0-100,3_pillars_10_dims,48.6147736,45.92026076,32.70730148,67.21675857,50.0,53.16042718,40.94666667,39.57394919,20.9722757,20.9722757,,37.2841118,39.86551696,49.81735906,67.44791666,84.385,
CUB,pais,Cuba,2020,0-100,3_pillars_10_dims,30.65408641,22.39284983,25.71316215,43.85624724,0.0,21.21539037,29.80666667,38.54934229,10.00464019,10.00464019,,35.9433876,31.19145866,28.66052676,41.50571496,61.4025,
CYP,pais,Cyprus,2020,0-100,3_pillars_10_dims,54.08177063,53.0323442,35.47504475,73.73792293,50.0,52.1609736,54.16666667,55.80173654,28.33275437,28.33275437,,39.6805579,38.41182199,54.84509792,80.63367085,85.735,
CZE,pais,Czech Republic,2020,0-100,3_pillars_10_dims,61.52161467,62.672151,49.20914396,72.68354906,100.0,49.90411883,46.54333333,54.24115184,33.08634563,33.08634563,,55.11968119,59.42140507,57.89294266,75.0677045,85.09,
COD,pais,Democratic Republic of the Congo,2020,0-100,3_pillars_10_dims,23.79660268,18.17317055,15.65521409,37.56142338,0.0,19.18757518,31.64416667,21.86094038,0.9175289212,0.9175289212,,27.25205699,18.79605637,21.32121181,25.83305833,65.53,
DNK,pais,Denmark,2020,0-100,3_pillars_10_dims,75.61825683,83.01410785,59.55322855,84.2874341,100.0,86.34159371,71.68333333,74.03150434,37.63208457,37.63208457,,73.88705513,67.14054597,65.70715698,91.91514533,95.24,
DJI,pais,Djibouti,2020,0-100,3_pillars_10_dims,31.00693625,24.47482974,31.50207532,37.0439037,0.0,24.11903201,33.45333333,40.32695362,13.12181154,13.12181154,,37.95774098,43.42667343,33.91503611,31.41167499,45.805,
DMA,pais,Dominica,2020,0-100,3_pillars_10_dims,35.71380145,24.0745165,26.11922044,56.9476674,0.0,22.16539037,36.08333333,38.04934229,15.41351985,15.41351985,,35.36553842,27.57860306,47.44064388,61.99985833,61.4025,
DOM,pais,Dominican Republic,2020,0-100,3_pillars_10_dims,37.46902193,32.83564603,23.19475233,56.37666743,0.0,45.81500523,45.04933333,40.47824558,11.24386564,11.24386564,,35.13418369,23.20620765,41.79291897,60.17208333,67.165,
ECU,pais,Ecuador,2020,0-100,3_pillars_10_dims,32.41107505,29.87015148,21.36956323,45.99351045,0.0,30.3989941,50.71666667,38.36494516,7.681246931,7.681246931,,31.93295871,24.49448406,39.50386468,54.05666667,44.42,
EGY,pais,Egypt,2020,0-100,3_pillars_10_dims,49.19141965,63.40274856,35.57999378,48.59151661,100.0,56.50097212,48.61,48.50002213,17.07906815,17.07906815,,39.13571232,50.52520086,37.38954982,59.49,48.895,
SLV,pais,El Salvador,2020,0-100,3_pillars_10_dims,29.43296344,17.00280711,21.81329584,49.48278737,0.0,9.86898062,29.44,28.70224782,10.12157053,10.12157053,,30.88618142,24.43213558,39.36613711,57.972225,51.11,
EST,pais,Estonia,2020,0-100,3_pillars_10_dims,69.92188533,76.10050614,48.41030711,85.25484274,100.0,64.93780088,78.07666667,61.38755702,32.14998023,32.14998023,,55.95877201,57.1221691,86.56954397,78.01498424,91.18,
SWZ,pais,Eswatini,2020,0-100,3_pillars_10_dims,27.69888736,23.71489785,18.70525787,40.67650637,0.0,21.69728139,35.99,37.17231002,7.339698368,7.339698368,,28.81596353,19.96011172,27.16074192,39.24954643,55.61923077,
ETH,pais,Ethiopia,2020,0-100,3_pillars_10_dims,26.1692875,23.61978768,16.38156601,38.50650881,0.0,15.46190488,39.19333333,39.82391253,1.553148813,1.553148813,,29.00343366,18.58811555,20.51355143,36.42097499,58.585,
FJI,pais,Fiji,2020,0-100,3_pillars_10_dims,38.72827908,28.06416667,32.6734333,55.44723728,0.0,6.466666667,50.59,55.2,19.10262225,19.10262225,,61.5,17.41767764,42.62261902,68.27185554,,
FIN,pais,Finland,2020,0-100,3_pillars_10_dims,79.23846315,86.76418848,59.92551514,91.02568585,100.0,88.32874432,78.99,79.73800959,36.16073801,36.16073801,,72.92977082,70.68603661,92.01561039,85.66144715,95.4,
FRA,pais,France,2020,0-100,3_pillars_10_dims,73.76728283,80.05415786,59.42516831,81.82252232,100.0,85.65394921,66.76666667,67.79601555,50.66926446,50.66926446,,61.47121904,66.13502144,61.07548362,89.20708333,95.185,
GAB,pais,Gabon,2020,0-100,3_pillars_10_dims,35.0636147,28.4744051,21.00929368,55.70714531,0.0,43.42345375,38.99083333,31.48333334,5.224348572,5.224348572,,31.19216697,26.6113655,42.32477759,50.86665833,73.93,
GMB,pais,Gambia,2020,0-100,3_pillars_10_dims,34.51065869,29.16630142,27.3994642,46.96621045,0.0,41.39692358,28.31083333,46.95744877,2.779267896,2.779267896,,34.06635138,45.35277331,32.84343017,49.99305833,58.06214286,
GEO,pais,Georgia,2020,0-100,3_pillars_10_dims,43.38681974,40.8594902,28.32633556,60.97463347,0.0,59.32194111,52.02333333,52.09268635,11.13160981,11.13160981,,40.3452218,33.50217508,43.31945042,68.69445,70.91,
DEU,pais,Germany,2020,0-100,3_pillars_10_dims,78.97369197,78.21922312,68.08722923,90.61462354,100.0,63.04440357,78.61666667,71.21582225,56.02084146,56.02084146,,74.63074256,73.61010367,86.80095397,88.77291667,96.27,
GHA,pais,Ghana,2020,0-100,3_pillars_10_dims,38.4991966,36.52234241,23.56889483,55.40635257,0.0,48.23737451,51.72,46.13199511,3.357681407,3.357681407,,41.12540579,26.22359731,37.51877439,57.94528333,70.755,
GRC,pais,Greece,2020,0-100,3_pillars_10_dims,47.93302158,34.44485742,41.4289331,67.92527423,0.0,45.25255685,52.37631579,40.15055703,28.7373971,28.7373971,,38.33080464,57.21859757,51.44150433,71.92931837,80.405,
GRD,pais,Grenada,2020,0-100,3_pillars_10_dims,33.44997481,20.9420165,24.13511027,55.27279768,0.0,12.76539037,32.55333333,38.44934229,11.72614391,11.72614391,,33.59053842,27.08864847,44.30089303,60.115,61.4025,
GTM,pais,Guatemala,2020,0-100,3_pillars_10_dims,31.17864948,19.76857086,21.00968396,52.75769364,0.0,15.99564932,33.08733333,29.99130078,7.475912364,7.475912364,,37.32702985,18.22610965,42.78640592,58.65667499,56.83,
GIN,pais,Guinea,2020,0-100,3_pillars_10_dims,29.00255471,28.1702858,19.35662008,39.48075825,0.0,37.98012772,34.58416667,40.11684884,0.9036482394,0.9036482394,,34.92184591,22.2443661,25.56213307,37.91514167,54.965,
GNB,pais,Guinea Bissau,2020,0-100,3_pillars_10_dims,25.12315069,17.92828546,19.06779553,38.37337107,0.0,10.38738869,29.4875,31.83825317,4.324335163,4.324335163,,30.66545444,22.21359699,26.39019534,30.66777501,58.06214286,
GUY,pais,Guyana,2020,0-100,3_pillars_10_dims,30.54983789,21.85243316,22.75082859,47.04625193,0.0,12.49039037,36.67,38.24934229,8.227495361,8.227495361,,34.11553842,25.90945197,36.75945579,42.97680001,61.4025,
HTI,pais,Haiti,2020,0-100,3_pillars_10_dims,21.10727909,10.31029067,17.47265771,35.53888888,0.0,7.82316417,18.82,14.59799853,4.094940638,4.094940638,,34.04460672,14.27842578,12.245,29.66666665,64.705,
HND,pais,Honduras,2020,0-100,3_pillars_10_dims,30.96637219,24.23112398,23.76115238,44.90684021,0.0,24.13733528,36.30666667,36.48049399,13.22535634,13.22535634,,34.43774596,23.62035485,35.25523727,50.36528334,49.1,
HUN,pais,Hungary,2020,0-100,3_pillars_10_dims,55.81798482,50.90051308,38.68946183,77.86397955,50.0,55.22091,47.36,51.02114231,31.01859384,31.01859384,,41.54547525,43.5043164,78.0100346,71.12690404,84.455,
ISL,pais,Iceland,2020,0-100,3_pillars_10_dims,57.63068891,46.97571178,45.64201751,80.27433743,0.0,51.80603363,67.44666667,68.65014684,24.86749866,24.86749866,,63.67209644,48.38645744,69.24984163,80.14027592,91.43289474,
IND,pais,India,2020,0-100,3_pillars_10_dims,55.9830947,71.83602506,47.33581828,48.77744078,100.0,57.68836484,73.92,55.73573539,37.1527735,37.1527735,,50.21710584,54.63757551,36.58245567,59.02986666,50.72,
IDN,pais,Indonesia,2020,0-100,3_pillars_10_dims,47.52774458,45.89131125,39.14169873,57.55022376,0.0,58.89877024,67.12666667,57.53980809,22.09716408,22.09716408,,48.96525748,46.36267461,43.18817127,63.3425,66.12,
IRN,pais,Iran,2020,0-100,3_pillars_10_dims,42.89440322,34.67796627,33.50272799,60.50251539,0.0,50.50204216,51.56333333,36.64648958,8.47864341,8.47864341,,34.37002535,57.65951521,39.66768784,55.97485834,85.865,
IRQ,pais,Iraq,2020,0-100,3_pillars_10_dims,33.87631476,24.53898585,26.34629579,50.74366263,0.0,28.85156121,36.82083333,32.48354885,9.026622271,9.026622271,,31.24759082,38.76467428,39.6052879,52.39069999,60.235,
IRL,pais,Ireland,2020,0-100,3_pillars_10_dims,68.24375495,58.74497904,61.677169,84.3091168,50.0,57.70589115,60.00666667,67.26735834,61.09455694,61.09455694,,58.97624088,64.96070917,82.65336053,76.73398988,93.54,
ISR,pais,Israel,2020,0-100,3_pillars_10_dims,68.82455799,61.84835947,67.45115177,77.17416273,50.0,60.89461664,72.11666667,64.38215456,46.79114798,46.79114798,,87.09895364,68.4633537,64.73186989,79.26061831,87.53,
ITA,pais,Italy,2020,0-100,3_pillars_10_dims,65.39100232,68.384815,45.71880209,82.06938987,100.0,79.93874221,50.52,43.08051779,31.0272849,31.0272849,,46.16463635,59.96448501,78.14294776,77.77522186,90.29,
JAM,pais,Jamaica,2020,0-100,3_pillars_10_dims,38.35682663,30.93679215,28.31988201,55.81380573,0.0,31.44735731,39.91,52.38981128,17.66053071,17.66053071,,39.18916251,28.10995282,46.35266718,61.24375001,59.845,
JPN,pais,Japan,2020,0-100,3_pillars_10_dims,73.30282538,80.92625944,57.28030133,81.70191536,100.0,85.51139546,68.95666667,69.23697564,38.81230332,38.81230332,,70.95026242,62.07833823,63.60074608,91.75,89.755,
JOR,pais,Jordan,2020,0-100,3_pillars_10_dims,41.7586761,35.17985022,36.43191711,53.66426098,0.0,39.35036674,46.56,54.80903413,15.7366634,15.7366634,,45.85535532,47.70373261,45.06166625,62.43611668,53.495,
KAZ,pais,Kazakhstan,2020,0-100,3_pillars_10_dims,46.55385398,43.73821662,30.01687254,65.90647277,0.0,57.07560686,66.18666667,51.69059296,7.260430559,7.260430559,,41.13351003,41.65667704,44.49108498,74.03333333,79.195,
KEN,pais,Kenya,2020,0-100,3_pillars_10_dims,43.65584815,51.63965419,28.4125786,50.91531166,50.0,44.5167545,65.43,46.61186225,8.10825899,8.10825899,,51.27906548,25.85041131,41.29370998,47.32222501,64.13,
KIR,pais,Kiribati,2020,0-100,3_pillars_10_dims,24.67734244,23.68583333,22.86957016,27.47662383,0.0,0.9333333333,49.41,44.4,1.691379466,1.691379466,,46.9,20.01733102,21.68936988,33.26387778,,
KWT,pais,Kuwait,2020,0-100,3_pillars_10_dims,50.60707185,41.28280413,33.99551637,76.54289506,0.0,51.11818453,65.09133333,48.92169867,26.92997429,26.92997429,,39.50858673,35.54798809,76.3350661,71.35361909,81.94,
KGZ,pais,Kyrgyzstan,2020,0-100,3_pillars_10_dims,35.81049338,28.91202941,22.48429019,56.03516054,0.0,39.79022731,39.65666667,36.20122368,5.65297353,5.65297353,,32.16228614,29.63761089,36.93881495,58.54166668,72.625,
LAO,pais,Lao People's Democratic Republic,2020,0-100,3_pillars_10_dims,32.19670221,24.30032296,27.60641002,44.68337365,0.0,16.33326777,36.42666667,44.44135743,14.42613521,14.42613521,,35.71589276,32.67720208,28.70108761,43.38903333,61.96,
LVA,pais,Latvia,2020,0-100,3_pillars_10_dims,57.58375902,50.16170629,41.27507591,81.31449486,50.0,53.32768098,40.61666667,56.70247752,27.08349454,27.08349454,,48.69614197,48.04559122,82.37093647,72.3175481,89.255,
LBN,pais,Lebanon,2020,0-100,3_pillars_10_dims,35.9063701,24.57416941,32.31628976,50.82865114,0.0,37.84564164,27.86,32.59103602,17.19736231,17.19736231,,37.93497888,41.81652808,36.22026176,56.71569166,59.55,
LSO,pais,Lesotho,2020,0-100,3_pillars_10_dims,35.55414869,28.12385035,19.79912428,58.73947142,0.0,38.22448753,36.59779762,37.67311627,7.152332866,7.152332866,,31.8337341,20.41130587,58.80299482,50.37541944,67.04,
LTU,pais,Lithuania,2020,0-100,3_pillars_10_dims,65.02407085,68.91689552,44.3074081,81.84790893,100.0,61.62564972,59.08,54.96193238,26.58499705,26.58499705,,54.68803486,51.64919239,83.38579822,73.62792859,88.53,
LUX,pais,Luxembourg,2020,0-100,3_pillars_10_dims,72.6156957,81.91854304,51.26026096,84.66828311,100.0,66.50955485,79.28,81.8846173,43.5301078,43.5301078,,59.53185184,50.71882326,70.62,88.43484934,94.95,
MDG,pais,Madagascar,2020,0-100,3_pillars_10_dims,26.75957182,23.65353315,18.18933294,38.43584936,0.0,38.91238869,27.56,28.1417439,3.632878671,3.632878671,,29.45901835,21.47610179,24.94851476,27.47403333,62.885,
MWI,pais,Malawi,2020,0-100,3_pillars_10_dims,26.7163134,25.55151365,17.65653638,36.94089017,0.0,39.42573826,28.12333333,34.65698301,3.07121002,3.07121002,,31.47272536,18.42567375,21.62017052,33.5525,55.65,
MYS,pais,Malaysia,2020,0-100,3_pillars_10_dims,63.66304351,67.3845196,54.42844892,69.17616203,50.0,64.83136896,84.83666667,69.87004277,30.35837259,30.35837259,,65.13478846,67.79218571,53.39820276,71.97528333,82.155,
MDV,pais,Maldives,2020,0-100,3_pillars_10_dims,40.3243939,26.84358707,27.49979535,66.62979929,0.0,12.53253728,48.84683333,45.99497765,13.61661095,13.61661095,,37.68671006,31.19606502,69.26857286,64.02249168,66.59833334,
MLI,pais,Mali,2020,0-100,3_pillars_10_dims,30.02279969,27.72241092,19.82724083,42.51874731,0.0,36.67494957,40.94333333,33.27136079,5.553768101,5.553768101,,32.09708648,21.83086792,28.02595861,43.55528333,55.975,
MLT,pais,Malta,2020,0-100,3_pillars_10_dims,62.43373159,71.99720608,39.95041949,75.3535692,100.0,51.60128246,69.23333333,67.15420854,30.43374579,30.43374579,,45.56129887,43.85621382,64.88905534,81.09665226,80.075,
MRT,pais,Mauritania,2020,0-100,3_pillars_10_dims,29.41629214,21.8169585,26.42873792,40.00318,0.0,32.7650658,28.16779762,26.33497059,6.486591364,6.486591364,,28.81215524,43.98746715,32.27287054,42.19166945,45.545,
MUS,pais,Mauritius,2020,0-100,3_pillars_10_dims,53.86351589,67.77839347,32.19488728,61.61726693,100.0,58.35931114,54.50666667,58.24759608,19.22967243,19.22967243,,41.82133489,35.53365452,47.80040912,63.69639168,73.355,
MEX,pais,Mexico,2020,0-100,3_pillars_10_dims,49.35771565,49.28070021,36.38435942,62.40808733,50.0,52.37639079,54.57,40.17641004,17.31303547,17.31303547,,41.99248225,49.84756056,45.99634531,75.68291668,65.545,
MNG,pais,Mongolia,2020,0-100,3_pillars_10_dims,37.79302336,27.01868524,26.27130096,60.08908388,0.0,32.31051381,40.11,35.65422714,8.69397345,8.69397345,,35.49786151,34.62206791,44.35045165,57.56679999,78.35,
MNE,pais,Montenegro,2020,0-100,3_pillars_10_dims,43.66362816,37.1846792,33.12665328,60.67955199,0.0,51.99079567,44.37955556,52.36836558,19.46388933,19.46388933,,38.44065127,41.47541925,49.08198098,65.386675,67.57,
MAR,pais,Morocco,2020,0-100,3_pillars_10_dims,36.42277689,35.3534966,27.47625679,46.43857727,0.0,46.30651424,47.07,48.03747215,17.56322507,17.56322507,,41.07300896,23.79253635,45.52989848,62.15083333,31.635,
MOZ,pais,Mozambique,2020,0-100,3_pillars_10_dims,25.2795208,22.23314543,15.02999074,38.57542622,0.0,22.67021755,33.97666667,32.28569751,1.419149129,1.419149129,,30.36257258,13.3082505,20.65807034,37.54320833,57.525,
MMR,pais,Myanmar,2020,0-100,3_pillars_10_dims,31.23711676,22.66164623,24.31858951,46.73111454,0.0,15.36226345,38.10055556,37.1837659,6.002345466,6.002345466,,35.95514986,30.99827321,37.08279362,42.33555001,60.775,
NAM,pais,Namibia,2020,0-100,3_pillars_10_dims,37.09592816,32.32496404,24.54116583,54.42165461,0.0,38.62141336,41.57666667,49.10177614,10.30213011,10.30213011,,38.64643767,24.67492972,42.7284305,48.86653334,71.67,
NPL,pais,Nepal,2020,0-100,3_pillars_10_dims,29.71665371,25.65966468,20.74343627,42.74686019,0.0,39.78894278,29.15333333,33.6963826,5.497422644,5.497422644,,33.65819318,23.074693,31.48780555,51.38777501,45.365,
NLD,pais,Netherlands,2020,0-100,3_pillars_10_dims,75.29732691,78.82630467,62.4314258,84.63425027,100.0,63.49504614,77.05,74.76017253,50.32619846,50.32619846,,69.25087445,67.71720449,65.98125754,91.14149326,96.78,
NZL,pais,New Zealand,2020,0-100,3_pillars_10_dims,68.14648723,64.34482504,48.01846514,92.07617152,50.0,61.0108963,74.75333333,71.61507054,22.9031596,22.9031596,,61.3491715,59.80306432,87.5964767,90.96203787,97.67,
NIC,pais,Nicaragua,2020,0-100,3_pillars_10_dims,30.23827478,25.20151459,20.58048658,44.93282316,0.0,35.33000479,33.75666667,31.71938689,8.771528249,8.771528249,,29.61068784,23.35924364,35.71041117,51.94805833,47.14,
NER,pais,Niger,2020,0-100,3_pillars_10_dims,29.66016127,28.13370213,19.744543,41.10223868,0.0,36.36238869,37.13416667,39.03825317,3.945381044,3.945381044,,34.06545444,21.22279351,22.4159466,36.41576945,64.475,
NGA,pais,Nigeria,2020,0-100,3_pillars_10_dims,30.86446183,28.98165311,22.74474842,40.86698394,0.0,47.62581051,39.03571429,29.26508765,3.544189188,3.544189188,,33.52327808,31.16677801,33.35540182,45.93555001,43.31,
MKD,pais,North Macedonia,2020,0-100,3_pillars_10_dims,42.9951224,36.54830199,28.84650829,63.59055693,0.0,53.32596719,51.04622222,41.82101853,18.20809463,18.20809463,,34.66316257,33.66826768,45.79791245,68.93375833,76.04,
NOR,pais,Norway,2020,0-100,3_pillars_10_dims,74.43043986,84.51643997,53.71059113,85.06428846,100.0,87.38305073,77.54666667,73.1360425,33.4085764,33.4085764,,65.57861606,62.14458093,66.78407571,90.41378968,97.995,
OMN,pais,Oman,2020,0-100,3_pillars_10_dims,52.09874776,47.01340468,34.77722636,74.50561225,0.0,62.37954223,64.02666667,61.64740982,14.53059511,14.53059511,,44.26450675,45.53657722,73.5778637,69.48197306,80.457,
PAK,pais,Pakistan,2020,0-100,3_pillars_10_dims,33.48588715,32.95963721,31.62368092,35.87434334,0.0,35.41298148,53.11333333,43.31223404,8.690614885,8.690614885,,40.3906598,45.78976806,34.23038834,39.47264167,33.92,
