pais_original,year,scale,framework,total_score,government,technology_sector,data_infrastructure,vision,governance_ethics,digital_capacity,adaptability,maturity,innovation_capacity,human_capital,infrastructure,data_availability,data_representativeness
Republic of Korea,2023,0-100,3_pillars_10_dims,75.64511212,87.55252773,54.36450926,85.01829936,100.0,87.784,91.57333333,70.85277759,38.46147287,59.03644065,65.59561426,79.35114807,95.64875,80.055
Republic of Moldova,2023,0-100,3_pillars_10_dims,42.97129514,42.68589792,28.21182083,58.01616667,0.0,55.916,63.49,51.337591689999996,19.33438315,29.15833954,36.14273982,27.975,66.1685,79.905
Romania,2023,0-100,3_pillars_10_dims,52.31981092,51.42468322,39.23114485,66.3036047,50.0,58.938,52.94,43.82073286,29.7582963,39.31763592,48.61750232,58.568,67.5528141,72.79
Russian Federation,2023,0-100,3_pillars_10_dims,62.92297762,74.13139691,43.37584151,71.26169444,100.0,70.012,71.38333333,55.13025432,21.50820156,50.81136197,57.80796099,56.588,73.75208333,83.445
Rwanda,2023,0-100,3_pillars_10_dims,45.38673728,67.81789856,27.86557848,40.47673479,100.0,62.91,65.91333333,42.44826092,8.753482937,48.30555294,26.53769956,21.274,42.05120436,58.105
Saint Kitts and Nevis,2023,0-100,3_pillars_10_dims,39.23383354,31.71207453,28.09337377,57.89605232,0.0,47.848,31.09666667,47.90363146,27.25993928,26.99802287,30.02215916,36.52866667,54.03258553,83.12690476
Saint Lucia,2023,0-100,3_pillars_10_dims,36.46491071,30.36882078,27.95052479,51.07538656,0.0,47.312,38.99666667,35.16661647,21.59949664,28.27301133,33.97906641,27.28379487,53.11069814,72.83166667
Saint Vincent and the Grenadines,2023,0-100,3_pillars_10_dims,34.13221331,30.52993983,24.39655926,47.47014083,0.0,37.236,36.72666667,48.15709266,21.00585029,28.27301133,23.91081616,26.88979487,46.57396096,68.94666667
Samoa,2023,0-100,3_pillars_10_dims,31.6611872,27.52292624,22.85398722,44.60664812,0.0,28.706,36.844,44.54170497,20.76828555,30.60389698,17.18977914,19.2444,39.70054436,74.875
San Marino,2023,0-100,3_pillars_10_dims,48.08421492,37.10562708,44.20751168,62.93950599,0.0,49.886,35.59586207,62.94064626,38.33418343,47.76112007,46.52723152,39.92458802,61.02226026,87.87166969
Sao Tome and Principe,2023,0-100,3_pillars_10_dims,26.86146681,25.40819127,19.95774453,35.21846463,0.0,40.728,25.87291667,35.03184842,8.749254971,30.02334797,21.10063066,18.80514773,25.22441282,61.62583333
Saudi Arabia,2023,0-100,3_pillars_10_dims,67.04188134,78.70702299,49.58574192,72.8328791,100.0,65.628,87.52,61.68009194,30.158148,49.94684323,68.65223452,71.16655397,75.27708333,72.055
Senegal,2023,0-100,3_pillars_10_dims,42.58345092,59.65092008,27.66921039,40.43022231,100.0,46.61,40.88,51.11368031,17.49572709,43.25338835,22.25851573,25.536,33.52466692,62.23
Serbia,2023,0-100,3_pillars_10_dims,55.57212047,74.28535696,37.13122026,55.29978419,100.0,78.12,67.98666667,51.03476116,22.01772027,42.82688394,46.54905656,32.777,56.03735256,77.085
Seychelles,2023,0-100,3_pillars_10_dims,38.10561952,36.44499046,19.50384725,58.36802083,0.0,36.366,48.02,61.39396184,28.94351295,5.20557665,24.36245217,60.66,56.07604167,
Sierra Leone,2023,0-100,3_pillars_10_dims,24.82502865,21.8546873,18.1005978,34.51980085,0.0,20.262,29.42916667,37.72758252,4.401744067,30.12718975,19.77285957,16.34425758,31.2942359,55.92090909
Singapore,2023,0-100,3_pillars_10_dims,81.97096482,90.39858238,66.19180008,89.32251199,100.0,88.344,91.07666667,82.17366286,54.76544234,75.60926623,68.20069169,77.73370265,91.08383333,99.15
Slovakia,2023,0-100,3_pillars_10_dims,60.73476979,67.70416051,40.60349974,73.89664912,100.0,65.432,57.60666667,47.77797538,32.79900903,45.50082994,43.51066024,58.96010526,77.783,84.94684211
Slovenia,2023,0-100,3_pillars_10_dims,62.63475187,71.74594007,41.86450827,74.29380726,100.0,61.626,70.50666667,54.85109362,27.19866151,52.32859451,46.06626878,65.16889243,75.34068725,82.37184211
Solomon Islands,2023,0-100,3_pillars_10_dims,29.08793384,23.72042624,23.40577894,40.13759632,0.0,19.616,37.19066667,38.07503831,15.34471477,31.8163996,23.05622245,20.1044,34.30838897,66.0
Somalia,2023,0-100,3_pillars_10_dims,21.97865144,18.00966488,19.34631153,28.57997792,0.0,20.50894737,26.9725,24.55721215,7.440244938,30.02945393,20.56923573,13.21425758,17.26426709,55.26140909
South Africa,2023,0-100,3_pillars_10_dims,47.27824677,37.82151635,40.21922395,63.794,0.0,57.772,55.63666667,37.87739872,25.5109953,48.17708739,46.96958916,54.418,60.189,76.775
South Sudan,2023,0-100,3_pillars_10_dims,18.25739575,13.35966488,17.79886609,23.61365628,0.0,17.52894737,13.7525,22.15721215,7.837321517,27.08453301,18.47474374,11.06625758,15.13380217,44.64090909
Spain,2023,0-100,3_pillars_10_dims,67.47437476,72.85686361,50.96164611,78.60461456,100.0,66.944,72.46333333,52.02012112,39.83684048,52.75281093,60.29528691,68.45970265,80.07914103,87.275
Sri Lanka,2023,0-100,3_pillars_10_dims,41.8893437,42.04741762,33.02041903,50.60019444,50.0,28.37,63.02,26.79967049,25.82602342,39.25282104,33.98241265,28.768,56.86258333,66.17
State of Palestine,2023,0-100,3_pillars_10_dims,33.13922995,21.14775,31.90371122,46.36622863,0.0,25.716,34.875,24.0,17.51812627,49.74851914,28.44448825,44.67,34.3536859,60.075
Sudan,2023,0-100,3_pillars_10_dims,24.51062958,15.42392804,23.35432928,34.75363142,0.0,14.686,20.31916667,26.69054548,5.267444757,36.18666824,28.60887484,15.87516667,25.68572761,62.7
Suriname,2023,0-100,3_pillars_10_dims,35.51765043,28.27093983,26.84997649,51.43203496,0.0,44.56,28.76666667,39.75709266,19.21106888,29.70634466,31.63251592,30.09579487,52.45364333,71.74666667
Sweden,2023,0-100,3_pillars_10_dims,72.55428782,74.69926646,62.70639302,80.25720399,100.0,71.718,80.91333333,46.16573251,44.69789058,75.72940455,67.69188393,77.93162478,75.49498718,87.345
Switzerland,2023,0-100,3_pillars_10_dims,68.5683896,57.32603613,62.96154757,85.41758509,0.0,90.354,67.85666667,71.09347787,47.61474771,78.47401311,62.7958819,76.18770265,84.66005263,95.405
Syrian Arab Republic,2023,0-100,3_pillars_10_dims,18.12073889,13.67392041,28.13478551,12.55351075,0.0,9.588,26.665,18.44268164,6.947256945,42.09122051,35.36587908,11.93666667,24.35386558,1.37
Taiwan,2023,0-100,3_pillars_10_dims,70.25307405,75.33310472,54.58043305,80.84568438,100.0,60.07028571,71.992,69.27013318,35.76321458,62.17224958,65.80583499,74.48392421,78.8522956,89.20083333
Tajikistan,2023,0-100,3_pillars_10_dims,38.78247405,53.17536994,20.40567674,42.76637547,100.0,31.94,36.0,44.76147974,5.718629176,32.59246297,22.90593807,40.784,42.51512641,45.0
Thailand,2023,0-100,3_pillars_10_dims,63.03262655,77.21380025,41.33374008,70.55033933,100.0,75.5,77.19666667,56.15853434,27.6680026,59.15616032,37.17705733,62.03685132,77.30416667,72.31
Timor-Leste,2023,0-100,3_pillars_10_dims,29.76966296,24.24525958,21.31712528,43.74660402,0.0,20.932,38.64066667,37.40837164,10.82273913,30.2163996,22.91223711,23.4084,38.26141205,69.57
Togo,2023,0-100,3_pillars_10_dims,29.685532,29.74285396,19.9564972,39.35724484,0.0,41.358,33.7525,43.86091585,8.803085896,29.93749469,21.12891101,36.76225758,27.32356784,53.98590909
Tonga,2023,0-100,3_pillars_10_dims,39.00745952,35.36620262,33.51949972,48.13667622,0.0,37.57857143,47.4125,56.47373905,26.72135166,45.69375717,28.14339033,26.9495,45.02552865,72.435
Trinidad and Tobago,2023,0-100,3_pillars_10_dims,39.44275869,32.69770907,32.25112257,53.37944444,0.0,46.756,45.51333333,38.52150294,22.9610416,29.3430582,44.44926791,32.82333333,44.53,82.785
Tunisia,2023,0-100,3_pillars_10_dims,46.07375273,48.31289443,38.4666412,51.44172256,50.0,54.886,55.67,32.69557773,22.39754295,47.03533361,45.96704705,26.25,60.04516769,68.03
Türkiye,2023,0-100,3_pillars_10_dims,60.50820969,75.07570924,42.31541768,64.13350214,100.0,74.82,73.43,52.05283697,29.86552257,47.48981008,49.5909204,51.146,67.23450641,74.02
Turkmenistan,2023,0-100,3_pillars_10_dims,31.16754399,20.05177297,30.51416858,42.93669043,0.0,26.856,29.34,24.01109188,22.29007246,34.62969467,34.62273861,23.97515385,29.74241744,75.0925
Tuvalu,2023,0-100,3_pillars_10_dims,37.45304448,29.27305976,34.00767014,49.07840353,0.0,25.476,36.07583333,55.54040571,28.18586291,45.69375717,28.14339033,25.1715,44.53787726,77.52583333
Uganda,2023,0-100,3_pillars_10_dims,33.43858135,38.0565942,20.96010402,41.29904581,0.0,48.836,55.89333333,47.49704347,5.508999034,36.78962315,20.5816899,25.624,37.14813744,61.125
Ukraine,2023,0-100,3_pillars_10_dims,53.28654288,68.93393287,36.17808466,54.74761111,100.0,51.786,66.06666667,57.8830648,31.77385116,40.02754366,36.73285917,31.62,67.03283333,65.59
United Arab Emirates,2023,0-100,3_pillars_10_dims,70.42303308,78.32252669,56.66634434,76.28022822,100.0,69.212,88.89333333,55.18477344,34.76061117,62.85702943,72.38139242,67.49685132,65.93383333,95.41
United Kingdom of Great Britain and Northern Ireland,2023,0-100,3_pillars_10_dims,78.57223041,82.50297325,68.79653553,84.41718245,100.0,91.108,74.18,64.72389299,59.9948831,76.4428644,69.95185908,75.0374053,84.26414205,93.95
United Republic of Tanzania,2023,0-100,3_pillars_10_dims,32.86338241,35.46428869,20.70937469,42.41648385,0.0,43.236,56.62333333,41.99782141,4.468065303,39.90697684,17.75308193,39.112,28.76745154,59.37
United States of America,2023,0-100,3_pillars_10_dims,84.79617127,86.04465046,81.0236913,87.32017205,100.0,89.08,82.74,72.35860184,84.76876574,89.10054246,69.20176571,88.338,80.76251615,92.86
Uruguay,2023,0-100,3_pillars_10_dims,60.57175304,74.40077342,35.31956904,71.99491667,100.0,72.99,69.25,55.36309369,24.82249055,33.60740279,47.52881379,56.65333333,77.59308333,81.73833333
Uzbekistan,2023,0-100,3_pillars_10_dims,43.78954115,49.07421058,24.8045667,57.48984615,50.0,46.702,59.49083333,40.104009,14.36072355,34.30488803,25.74808853,47.826,59.65353846,64.99
Vanuatu,2023,0-100,3_pillars_10_dims,31.9130512,26.19042624,25.2252865,44.32344085,0.0,25.056,40.764,38.94170497,20.34107701,30.60389698,24.73088552,25.5824,39.16792256,68.22
"Venezuela, Bolivarian Republic of",2023,0-100,3_pillars_10_dims,29.20001625,17.16874068,26.14181468,44.2894934,0.0,11.092,30.59333333,26.98962937,14.54795197,32.78638084,31.09111123,22.15046154,40.85301865,69.865
Viet Nam,2023,0-100,3_pillars_10_dims,54.48001397,69.03908651,37.81903874,56.58191667,100.0,62.03,66.46,47.66634605,28.3766177,46.38347024,38.69702826,33.724,67.49175,68.53
Yemen,2023,0-100,3_pillars_10_dims,19.88707052,19.59392041,30.93646737,9.130823782,0.0,30.268,34.465,13.64268164,6.947256945,47.23005513,38.63209002,5.57,20.45247135,1.37
Zambia,2023,0-100,3_pillars_10_dims,32.3597691,32.32460295,20.33342862,44.42127573,0.0,51.296,42.41333333,35.58907847,8.042926707,32.21286742,20.74449174,39.046,31.37782718,62.84
Zimbabwe,2023,0-100,3_pillars_10_dims,30.70795467,24.08378789,23.40642844,44.63364769,0.0,37.178,31.74,27.41715156,12.03348519,32.50413125,25.68166887,38.912,35.97394308,59.015
