STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,ACTIVITY,Economic activity,POL_CAT,Policy category,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observational value,DECIMALS,Decimals,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation status
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,GRC,Greece,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2023,,0.00150375,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,DEU,Germany,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2023,,0.000675,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,FRA,France,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2023,,0.000890625,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,FIN,Finland,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2023,,0.0006,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,EST,Estonia,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2023,,0.00024,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,DNK,Denmark,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2023,,0.000315,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,CRI,Costa Rica,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2023,,0.000178125,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,COL,Colombia,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2023,,0.000528125,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,CHL,Chile,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2023,,0.0043375,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,CAN,Canada,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2023,,0.0015,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,AUT,Austria,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2023,,0.00039,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,AUS,Australia,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2023,,0.0006,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,LBY,Libya,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2023,,0.025,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,COD,Democratic Republic of the Congo,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2023,,0.05,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,IDN,Indonesia,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2023,,0.02908125,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,VNM,Viet Nam,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2023,,0.026775,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,BRN,Brunei Darussalam,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2023,,0.027883333,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,SGP,Singapore,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2023,,0.00588125,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,SGP,Singapore,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2022,,0.00588125,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,BRN,Brunei Darussalam,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2022,,0.027883333,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,VNM,Viet Nam,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2022,,0.026775,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,IDN,Indonesia,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2022,,0.02908125,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,COD,Democratic Republic of the Congo,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2022,,0.05,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,LBY,Libya,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2022,,0.025,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,ZWE,Zimbabwe,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2022,,0.0040375,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,ZMB,Zambia,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2022,,0.0008,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,URY,Uruguay,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2022,,0.00315625,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,TUN,Tunisia,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2022,,0.023384375,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,THA,Thailand,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2022,,0.00600625,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,TZA,Tanzania,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2022,,0.000433333,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,TJK,Tajikistan,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2022,,0.0031,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,ZAF,South Africa,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2022,,0.000375,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,SAU,Saudi Arabia,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2022,,0.002204167,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,PHL,Philippines,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2022,,0.002672917,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,PER,Peru,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2022,,0.0016,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,PSE,Palestinian Authority or West Bank and Gaza Strip,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2022,,0.000650625,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,NAM,Namibia,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2022,,0.001666667,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,MOZ,Mozambique,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2022,,0.001125,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,MAR,Morocco,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2022,,0.001775,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,MUS,Mauritius,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2022,,0.0008125,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,MYS,Malaysia,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2022,,0.00606875,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,MDG,Madagascar,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2022,,0.0030375,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,LBN,Lebanon,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2022,,0.0079,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,KGZ,Kyrgyzstan,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2022,,0.0015,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,KEN,Kenya,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2022,,0.00028125,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,KAZ,Kazakhstan,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2022,,0.0009625,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,JOR,Jordan,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2022,,0.00103125,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,IND,India,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2022,,0.0071125,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,SWZ,Eswatini,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2022,,0.00609375,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,EGY,Egypt,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2022,,0.00714375,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,CHN,China (People’s Republic of),_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2022,,0.0006,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,BGR,Bulgaria,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2022,,0.0012,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,BRA,Brazil,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2022,,0.00126875,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,BLR,Belarus,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2022,,0.0013625,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,BGD,Bangladesh,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2022,,0.0007,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,AZE,Azerbaijan,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2022,,0.0024625,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,ARG,Argentina,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2022,,0.001125,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,GRC,Greece,_T,Total - All activities,CLAS1_1,Foreign equity limits,RR,Regulatory restrictiveness,IX,Index,2024,,0.013335,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,DEU,Germany,_T,Total - All activities,CLAS1_1,Foreign equity limits,RR,Regulatory restrictiveness,IX,Index,2024,,0.00792,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,FRA,France,_T,Total - All activities,CLAS1_1,Foreign equity limits,RR,Regulatory restrictiveness,IX,Index,2024,,0.01617,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,DNK,Denmark,_T,Total - All activities,CLAS1_1,Foreign equity limits,RR,Regulatory restrictiveness,IX,Index,2024,,0.00696,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,CZE,Czechia,_T,Total - All activities,CLAS1_1,Foreign equity limits,RR,Regulatory restrictiveness,IX,Index,2024,,0.011385,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,CRI,Costa Rica,_T,Total - All activities,CLAS1_1,Foreign equity limits,RR,Regulatory restrictiveness,IX,Index,2024,,0.0384375,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,COL,Colombia,_T,Total - All activities,CLAS1_1,Foreign equity limits,RR,Regulatory restrictiveness,IX,Index,2024,,0.028875,,5,Five,0,Units,A,Normal value
