iso3,country_name,region,income_group,Q1_percentile,Q1_label,Q2_percentile,Q2_label,Q3_percentile,Q3_label,Q5_percentile,Q5_label,Q6_percentile,Q6_label,overall_country_profile_score,overall_country_profile_rank,overall_country_profile_label,main_strengths,main_weaknesses,missingness_warnings,recommended_use_in_phase8,cluster_hca,cluster_kmeans,Q4_regulatory_profile,Q4_regulatory_label,Q4_data_source,overall_country_profile_score_is_descriptive,not_a_causal_or_predictive_index,section,question_id,question_label,dimension_type,outcome,observed_value,score_value,score_source,rank_global,percentile_global,rank_desc,n_comparable_countries,missing_observed_value,missing_score_value,interpretation_label,strength_weakness_label,score_scope,independent_prediction,causal_claim,notes,value_used_for_ranking,outcome_label,value_type,rank_asc,percentile,n_ranked,is_top_5_global,is_bottom_5_global,missingness_flag,why_high_or_low_short,group_name,group_type,rank_within_group,percentile_within_group,n_group_ranked,is_best_in_group,is_worst_in_group,distance_to_group_best,distance_to_group_median,distance_to_chile,why_best_or_worst,model_id,term,term_value,term_percentile,coefficient_or_weight,standardized_contribution,contribution_direction,contribution_rank_within_country,contribution_label,driver_type,interpretation,abs_contribution,fitted_value,residual,absolute_residual,residual_rank,residual_percentile,overperformer_underperformer,gap_vs_best,gap_vs_group_best,gap_vs_chile,gap_vs_singapore
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q2,Adopción,,oecd_5_ict_business_oecd_biz_ai_pct,,,,,,6.0,,,,high_performer,,,,,,30.28,oecd_5_ict_business_oecd_biz_ai_pct,observed_or_score,26.0,0.8387096774193549,31.0,False,False,False,desempeño alto relativo,ai_pioneers,custom,1.0,1.0,5.0,True,False,0.0,-10.6384,,mejor de su grupo,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q2,Adopción,,oxford_ind_adoption_emerging_tech,,,,,,18.0,,,,middle_performer,,,,,,75.4,oxford_ind_adoption_emerging_tech,observed_or_score,26.0,0.6046511627906976,43.0,False,False,False,desempeño intermedio relativo,ai_pioneers,custom,5.0,0.5,8.0,False,False,24.349999999999994,1.2999999999999972,,,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q2,Adopción,,oxford_public_sector_adoption,,,,,,17.0,,,,middle_performer,,,,,,79.23,oxford_public_sector_adoption,observed_or_score,27.0,0.627906976744186,43.0,False,False,False,desempeño intermedio relativo,ai_pioneers,custom,5.0,0.5,8.0,False,False,20.39999999999999,6.635000000000005,,,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q3,Innovación,,oxford_total_score,,,,,,5.0,,,,top_pioneer,,,,,,76.89,oxford_total_score,observed_or_score,39.0,0.9069767441860465,43.0,True,False,False,ubicado en el tramo superior de la muestra,ai_pioneers,custom,2.0,0.875,8.0,False,False,11.469999999999999,-3.095000000000013,,,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q3,Innovación,,wipo_out_score,,,,,,6.0,,,,high_performer,,,,,,54.7499614119472,wipo_out_score,observed_or_score,37.0,0.8809523809523809,42.0,False,False,False,desempeño alto relativo,ai_pioneers,custom,3.0,0.75,8.0,False,False,3.5623885495727023,-5.092196422927543,,,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q5,Uso poblacional,,anthropic_collaboration_pct,,,,,,1.0,,,,middle_performer,,,,,,16.66666666666667,anthropic_collaboration_pct,observed_or_score,6.0,0.5714285714285714,42.0,True,False,False,desempeño intermedio relativo,ai_pioneers,custom,1.0,0.5714285714285714,7.0,True,False,0.0,0.0,,mejor de su grupo,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q5,Uso poblacional,,anthropic_usage_pct,,,,,,7.0,,,,high_performer,,,,,,2.9075,anthropic_usage_pct,observed_or_score,36.0,0.8571428571428571,42.0,False,False,False,desempeño alto relativo,ai_pioneers,custom,2.0,0.8571428571428571,7.0,False,False,19.329700000000003,-2.3576,,,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q5,Uso poblacional,,oxford_ind_adoption_emerging_tech,,,,,,18.0,,,,middle_performer,,,,,,75.4,oxford_ind_adoption_emerging_tech,observed_or_score,26.0,0.6046511627906976,43.0,False,False,False,desempeño intermedio relativo,ai_pioneers,custom,5.0,0.5,8.0,False,False,24.349999999999994,1.2999999999999972,,,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q6,Sector público,,oecd_2_indigo_oecd_indigo_score,,,,,,24.0,,,,middle_performer,,,,,,0.1008550375699997,oecd_2_indigo_oecd_indigo_score,observed_or_score,20.0,0.46511627906976744,43.0,False,False,False,desempeño intermedio relativo,ai_pioneers,custom,4.0,0.625,8.0,False,False,0.024379968643188504,-0.0120442695915699,,,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q6,Sector público,,oecd_4_digital_gov_oecd_digital_gov_overall,,,,,,1.0,,,,top_pioneer,,,,,,0.93,oecd_4_digital_gov_oecd_digital_gov_overall,observed_or_score,31.0,1.0,31.0,True,False,False,ubicado en el tramo superior de la muestra,ai_pioneers,custom,1.0,1.0,4.0,True,False,0.0,-0.20500000000000007,,mejor de su grupo,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q6,Sector público,,oxford_e_government_delivery,,,,,,18.0,,,,middle_performer,,,,,,91.5,oxford_e_government_delivery,observed_or_score,26.0,0.6046511627906976,43.0,False,False,False,desempeño intermedio relativo,ai_pioneers,custom,5.0,0.5,8.0,False,False,8.379999999999995,2.710000000000008,,,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q6,Sector público,,oxford_governance_ethics,,,,,,20.0,,,,middle_performer,,,,,,89.90837904,oxford_governance_ethics,observed_or_score,24.0,0.5581395348837209,43.0,False,False,False,desempeño intermedio relativo,ai_pioneers,custom,4.0,0.625,8.0,False,False,4.228715780000002,-0.0027636949999987337,,,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q6,Sector público,,oxford_government_digital_policy,,,,,,26.0,,,,middle_performer,,,,,,66.96,oxford_government_digital_policy,observed_or_score,18.0,0.4186046511627907,43.0,False,False,False,desempeño intermedio relativo,ai_pioneers,custom,5.0,0.5,8.0,False,False,32.42,10.470000000000013,,,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q6,Sector público,,oxford_ind_data_governance,,,,,,1.0,,,,high_performer,,,,,,100.0,oxford_ind_data_governance,observed_or_score,29.0,0.8372093023255814,43.0,True,False,False,desempeño alto relativo,ai_pioneers,custom,1.0,0.8125,8.0,True,False,0.0,-25.0,,mejor de su grupo,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q6,Sector público,,oxford_public_sector_adoption,,,,,,17.0,,,,middle_performer,,,,,,79.23,oxford_public_sector_adoption,observed_or_score,27.0,0.627906976744186,43.0,False,False,False,desempeño intermedio relativo,ai_pioneers,custom,5.0,0.5,8.0,False,False,20.39999999999999,6.635000000000005,,,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q1,Inversión,,oxford_ind_ai_unicorns_log,,,,,,13.0,,,,low_performer,,,,,,0.0,oxford_ind_ai_unicorns_log,observed_or_score,1.0,0.37209302325581395,43.0,False,True,False,desempeño bajo relativo,chile_priority_benchmarks,custom,4.0,0.35714285714285715,7.0,False,False,26.94303373,0.0,,,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q1,Inversión,,oxford_ind_company_investment_emerging_tech,,,,,,25.0,,,,middle_performer,,,,,,59.5,oxford_ind_company_investment_emerging_tech,observed_or_score,19.0,0.4418604651162791,43.0,False,False,False,desempeño intermedio relativo,chile_priority_benchmarks,custom,4.0,0.5714285714285714,7.0,False,False,20.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q1,Inversión,,oxford_ind_vc_availability,,,,,,30.0,,,,low_performer,,,,,,8.0,oxford_ind_vc_availability,observed_or_score,11.0,0.29069767441860467,43.0,False,False,False,desempeño bajo relativo,chile_priority_benchmarks,custom,6.0,0.21428571428571427,7.0,False,False,92.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q1,Inversión,,wipo_c_vencapdeal_score,,,,,,28.0,,,,low_performer,,,,,,5.1544887120339,wipo_c_vencapdeal_score,observed_or_score,13.0,0.325,40.0,False,False,False,desempeño bajo relativo,chile_priority_benchmarks,custom,6.0,0.2857142857142857,7.0,False,False,94.8455112879661,25.2342632376934,,,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q2,Adopción,,anthropic_usage_pct,,,,,,7.0,,,,high_performer,,,,,,2.9075,anthropic_usage_pct,observed_or_score,36.0,0.8571428571428571,42.0,False,False,False,desempeño alto relativo,chile_priority_benchmarks,custom,1.0,1.0,7.0,True,False,0.0,-2.4371,,mejor de su grupo,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q2,Adopción,,ms_h2_2025_ai_diffusion_pct,,,,,,18.0,,,,middle_performer,,,,,,30.7,ms_h2_2025_ai_diffusion_pct,observed_or_score,25.0,0.5952380952380952,42.0,False,False,False,desempeño intermedio relativo,chile_priority_benchmarks,custom,4.0,0.5,6.0,False,False,33.3,6.949999999999999,,,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q2,Adopción,,oecd_5_ict_business_oecd_biz_ai_pct,,,,,,6.0,,,,high_performer,,,,,,30.28,oecd_5_ict_business_oecd_biz_ai_pct,observed_or_score,26.0,0.8387096774193549,31.0,False,False,False,desempeño alto relativo,chile_priority_benchmarks,custom,1.0,1.0,4.0,True,False,0.0,-8.7579,,mejor de su grupo,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q2,Adopción,,oxford_ind_adoption_emerging_tech,,,,,,18.0,,,,middle_performer,,,,,,75.4,oxford_ind_adoption_emerging_tech,observed_or_score,26.0,0.6046511627906976,43.0,False,False,False,desempeño intermedio relativo,chile_priority_benchmarks,custom,3.0,0.7142857142857143,7.0,False,False,13.14,-2.210000000000008,,,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q2,Adopción,,oxford_public_sector_adoption,,,,,,17.0,,,,middle_performer,,,,,,79.23,oxford_public_sector_adoption,observed_or_score,27.0,0.627906976744186,43.0,False,False,False,desempeño intermedio relativo,chile_priority_benchmarks,custom,6.0,0.2857142857142857,7.0,False,False,20.39999999999999,13.269999999999996,,,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q3,Innovación,,oxford_total_score,,,,,,5.0,,,,top_pioneer,,,,,,76.89,oxford_total_score,observed_or_score,39.0,0.9069767441860465,43.0,True,False,False,ubicado en el tramo superior de la muestra,chile_priority_benchmarks,custom,1.0,1.0,7.0,True,False,0.0,-7.030000000000001,,mejor de su grupo,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q3,Innovación,,wipo_out_score,,,,,,6.0,,,,high_performer,,,,,,54.7499614119472,wipo_out_score,observed_or_score,37.0,0.8809523809523809,42.0,False,False,False,desempeño alto relativo,chile_priority_benchmarks,custom,1.0,1.0,7.0,True,False,0.0,-11.068093469374396,,mejor de su grupo,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q5,Uso poblacional,,anthropic_collaboration_pct,,,,,,1.0,,,,middle_performer,,,,,,16.66666666666667,anthropic_collaboration_pct,observed_or_score,6.0,0.5714285714285714,42.0,True,False,False,desempeño intermedio relativo,chile_priority_benchmarks,custom,1.0,0.7142857142857143,7.0,True,False,0.0,0.0,,mejor de su grupo,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q5,Uso poblacional,,anthropic_usage_pct,,,,,,7.0,,,,high_performer,,,,,,2.9075,anthropic_usage_pct,observed_or_score,36.0,0.8571428571428571,42.0,False,False,False,desempeño alto relativo,chile_priority_benchmarks,custom,1.0,1.0,7.0,True,False,0.0,-2.4371,,mejor de su grupo,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q5,Uso poblacional,,oxford_ind_adoption_emerging_tech,,,,,,18.0,,,,middle_performer,,,,,,75.4,oxford_ind_adoption_emerging_tech,observed_or_score,26.0,0.6046511627906976,43.0,False,False,False,desempeño intermedio relativo,chile_priority_benchmarks,custom,3.0,0.7142857142857143,7.0,False,False,13.14,-2.210000000000008,,,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q6,Sector público,,oecd_2_indigo_oecd_indigo_score,,,,,,24.0,,,,middle_performer,,,,,,0.1008550375699997,oecd_2_indigo_oecd_indigo_score,observed_or_score,20.0,0.46511627906976744,43.0,False,False,False,desempeño intermedio relativo,chile_priority_benchmarks,custom,3.0,0.7142857142857143,7.0,False,False,0.024379968643188504,-0.028660714626312297,,,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q6,Sector público,,oecd_4_digital_gov_oecd_digital_gov_overall,,,,,,1.0,,,,top_pioneer,,,,,,0.93,oecd_4_digital_gov_oecd_digital_gov_overall,observed_or_score,31.0,1.0,31.0,True,False,False,ubicado en el tramo superior de la muestra,chile_priority_benchmarks,custom,1.0,1.0,4.0,True,False,0.0,-0.20500000000000007,,mejor de su grupo,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q6,Sector público,,oxford_e_government_delivery,,,,,,18.0,,,,middle_performer,,,,,,91.5,oxford_e_government_delivery,observed_or_score,26.0,0.6046511627906976,43.0,False,False,False,desempeño intermedio relativo,chile_priority_benchmarks,custom,5.0,0.42857142857142855,7.0,False,False,8.379999999999995,5.420000000000002,,,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q6,Sector público,,oxford_governance_ethics,,,,,,20.0,,,,middle_performer,,,,,,89.90837904,oxford_governance_ethics,observed_or_score,24.0,0.5581395348837209,43.0,False,False,False,desempeño intermedio relativo,chile_priority_benchmarks,custom,3.0,0.7142857142857143,7.0,False,False,4.228715780000002,-0.005527389999997467,,,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q6,Sector público,,oxford_government_digital_policy,,,,,,26.0,,,,middle_performer,,,,,,66.96,oxford_government_digital_policy,observed_or_score,18.0,0.4186046511627907,43.0,False,False,False,desempeño intermedio relativo,chile_priority_benchmarks,custom,6.0,0.2857142857142857,7.0,False,False,32.42,24.950000000000003,,,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q6,Sector público,,oxford_ind_data_governance,,,,,,1.0,,,,high_performer,,,,,,100.0,oxford_ind_data_governance,observed_or_score,29.0,0.8372093023255814,43.0,True,False,False,desempeño alto relativo,chile_priority_benchmarks,custom,1.0,0.8571428571428571,7.0,True,False,0.0,-50.0,,mejor de su grupo,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q6,Sector público,,oxford_public_sector_adoption,,,,,,17.0,,,,middle_performer,,,,,,79.23,oxford_public_sector_adoption,observed_or_score,27.0,0.627906976744186,43.0,False,False,False,desempeño intermedio relativo,chile_priority_benchmarks,custom,6.0,0.2857142857142857,7.0,False,False,20.39999999999999,13.269999999999996,,,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q1,Inversión,,oxford_ind_ai_unicorns_log,,,,,,13.0,,,,low_performer,,,,,,0.0,oxford_ind_ai_unicorns_log,observed_or_score,1.0,0.37209302325581395,43.0,False,True,False,desempeño bajo relativo,global_43,global,13.0,0.37209302325581395,43.0,False,False,100.0,0.0,-16.99916163,,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q1,Inversión,,oxford_ind_company_investment_emerging_tech,,,,,,25.0,,,,middle_performer,,,,,,59.5,oxford_ind_company_investment_emerging_tech,observed_or_score,19.0,0.4418604651162791,43.0,False,False,False,desempeño intermedio relativo,global_43,global,25.0,0.4418604651162791,43.0,False,False,40.5,4.75,21.0,,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q1,Inversión,,oxford_ind_vc_availability,,,,,,30.0,,,,low_performer,,,,,,8.0,oxford_ind_vc_availability,observed_or_score,11.0,0.29069767441860467,43.0,False,False,False,desempeño bajo relativo,global_43,global,30.0,0.29069767441860467,43.0,False,False,92.0,17.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q1,Inversión,,wipo_c_vencapdeal_score,,,,,,28.0,,,,low_performer,,,,,,5.1544887120339,wipo_c_vencapdeal_score,observed_or_score,13.0,0.325,40.0,False,False,False,desempeño bajo relativo,global_43,global,28.0,0.325,40.0,False,False,94.8455112879661,11.8389820967802,1.20597382752876,,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q2,Adopción,,anthropic_usage_pct,,,,,,7.0,,,,high_performer,,,,,,2.9075,anthropic_usage_pct,observed_or_score,36.0,0.8571428571428571,42.0,False,False,False,desempeño alto relativo,global_43,global,7.0,0.8571428571428571,42.0,False,False,19.329700000000003,-2.414,2.6355000000000004,,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q2,Adopción,,ms_h2_2025_ai_diffusion_pct,,,,,,18.0,,,,middle_performer,,,,,,30.7,ms_h2_2025_ai_diffusion_pct,observed_or_score,25.0,0.5952380952380952,42.0,False,False,False,desempeño intermedio relativo,global_43,global,18.0,0.5952380952380952,42.0,False,False,33.3,-2.1499999999999986,9.899999999999999,,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q2,Adopción,,oecd_5_ict_business_oecd_biz_ai_pct,,,,,,6.0,,,,high_performer,,,,,,30.28,oecd_5_ict_business_oecd_biz_ai_pct,observed_or_score,26.0,0.8387096774193549,31.0,False,False,False,desempeño alto relativo,global_43,global,6.0,0.8387096774193549,31.0,False,False,11.752400000000002,-15.087200000000001,,,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q2,Adopción,,oxford_ind_adoption_emerging_tech,,,,,,18.0,,,,middle_performer,,,,,,75.4,oxford_ind_adoption_emerging_tech,observed_or_score,26.0,0.6046511627906976,43.0,False,False,False,desempeño intermedio relativo,global_43,global,18.0,0.6046511627906976,43.0,False,False,24.599999999999994,-4.060000000000002,13.850000000000009,,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q2,Adopción,,oxford_public_sector_adoption,,,,,,17.0,,,,middle_performer,,,,,,79.23,oxford_public_sector_adoption,observed_or_score,27.0,0.627906976744186,43.0,False,False,False,desempeño intermedio relativo,global_43,global,17.0,0.627906976744186,43.0,False,False,20.39999999999999,-4.390000000000001,8.469999999999999,,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q3,Innovación,,oxford_total_score,,,,,,5.0,,,,top_pioneer,,,,,,76.89,oxford_total_score,observed_or_score,39.0,0.9069767441860465,43.0,True,False,False,ubicado en el tramo superior de la muestra,global_43,global,5.0,0.9069767441860465,43.0,False,False,11.469999999999999,-7.439999999999998,17.590000000000003,,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q3,Innovación,,wipo_out_score,,,,,,6.0,,,,high_performer,,,,,,54.7499614119472,wipo_out_score,observed_or_score,37.0,0.8809523809523809,42.0,False,False,False,desempeño alto relativo,global_43,global,6.0,0.8809523809523809,42.0,False,False,9.702771076611398,-15.640409316000998,31.871876567863698,,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q5,Uso poblacional,,anthropic_collaboration_pct,,,,,,1.0,,,,middle_performer,,,,,,16.66666666666667,anthropic_collaboration_pct,observed_or_score,6.0,0.5714285714285714,42.0,True,False,False,desempeño intermedio relativo,global_43,global,1.0,0.5714285714285714,42.0,True,False,0.0,0.0,0.0,mejor de su grupo,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q5,Uso poblacional,,anthropic_usage_pct,,,,,,7.0,,,,high_performer,,,,,,2.9075,anthropic_usage_pct,observed_or_score,36.0,0.8571428571428571,42.0,False,False,False,desempeño alto relativo,global_43,global,7.0,0.8571428571428571,42.0,False,False,19.329700000000003,-2.414,2.6355000000000004,,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q5,Uso poblacional,,oxford_ind_adoption_emerging_tech,,,,,,18.0,,,,middle_performer,,,,,,75.4,oxford_ind_adoption_emerging_tech,observed_or_score,26.0,0.6046511627906976,43.0,False,False,False,desempeño intermedio relativo,global_43,global,18.0,0.6046511627906976,43.0,False,False,24.599999999999994,-4.060000000000002,13.850000000000009,,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q6,Sector público,,oecd_2_indigo_oecd_indigo_score,,,,,,24.0,,,,middle_performer,,,,,,0.1008550375699997,oecd_2_indigo_oecd_indigo_score,observed_or_score,20.0,0.46511627906976744,43.0,False,False,False,desempeño intermedio relativo,global_43,global,24.0,0.46511627906976744,43.0,False,False,0.03867435455322271,0.008449904620647403,0.0177951380610466,,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q6,Sector público,,oecd_4_digital_gov_oecd_digital_gov_overall,,,,,,1.0,,,,top_pioneer,,,,,,0.93,oecd_4_digital_gov_oecd_digital_gov_overall,observed_or_score,31.0,1.0,31.0,True,False,False,ubicado en el tramo superior de la muestra,global_43,global,1.0,1.0,31.0,True,False,0.0,-0.3500000000000001,0.53,mejor de su grupo,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q6,Sector público,,oxford_e_government_delivery,,,,,,18.0,,,,middle_performer,,,,,,91.5,oxford_e_government_delivery,observed_or_score,26.0,0.6046511627906976,43.0,False,False,False,desempeño intermedio relativo,global_43,global,18.0,0.6046511627906976,43.0,False,False,8.480000000000004,-2.9200000000000017,-5.030000000000001,,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q6,Sector público,,oxford_governance_ethics,,,,,,20.0,,,,middle_performer,,,,,,89.90837904,oxford_governance_ethics,observed_or_score,24.0,0.5581395348837209,43.0,False,False,False,desempeño intermedio relativo,global_43,global,20.0,0.5581395348837209,43.0,False,False,7.468462840000001,-0.05759308999999746,6.06369857,,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q6,Sector público,,oxford_government_digital_policy,,,,,,26.0,,,,middle_performer,,,,,,66.96,oxford_government_digital_policy,observed_or_score,18.0,0.4186046511627907,43.0,False,False,False,desempeño intermedio relativo,global_43,global,26.0,0.4186046511627907,43.0,False,False,32.42,3.5800000000000125,21.959999999999994,,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q6,Sector público,,oxford_ind_data_governance,,,,,,1.0,,,,high_performer,,,,,,100.0,oxford_ind_data_governance,observed_or_score,29.0,0.8372093023255814,43.0,True,False,False,desempeño alto relativo,global_43,global,1.0,0.8372093023255814,43.0,True,False,0.0,-50.0,50.0,mejor de su grupo,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q6,Sector público,,oxford_public_sector_adoption,,,,,,17.0,,,,middle_performer,,,,,,79.23,oxford_public_sector_adoption,observed_or_score,27.0,0.627906976744186,43.0,False,False,False,desempeño intermedio relativo,global_43,global,17.0,0.627906976744186,43.0,False,False,20.39999999999999,-4.390000000000001,8.469999999999999,,,,,,,,,,,,,,,,,,,,,,,
