iso3,question,outcome,predictor,score_value,score_scope,independent_prediction,holdout_used,analysis_scope,country_name_canonical
BEL,Q2,ms_h2_2025_ai_diffusion_pct,n_non_binding,36.0,in_sample_descriptive_positioning,False,False,full_preregistered_sample_available_by_outcome,Belgium
CAN,Q2,ms_h2_2025_ai_diffusion_pct,n_non_binding,35.0,in_sample_descriptive_positioning,False,False,full_preregistered_sample_available_by_outcome,Canada
CHE,Q2,ms_h2_2025_ai_diffusion_pct,n_non_binding,34.8,in_sample_descriptive_positioning,False,False,full_preregistered_sample_available_by_outcome,Switzerland
SWE,Q2,ms_h2_2025_ai_diffusion_pct,n_non_binding,33.3,in_sample_descriptive_positioning,False,False,full_preregistered_sample_available_by_outcome,Sweden
AUT,Q2,ms_h2_2025_ai_diffusion_pct,n_non_binding,31.4,in_sample_descriptive_positioning,False,False,full_preregistered_sample_available_by_outcome,Austria
KOR,Q2,ms_h2_2025_ai_diffusion_pct,n_non_binding,30.7,in_sample_descriptive_positioning,False,False,full_preregistered_sample_available_by_outcome,South Korea
HUN,Q2,ms_h2_2025_ai_diffusion_pct,n_non_binding,29.8,in_sample_descriptive_positioning,False,False,full_preregistered_sample_available_by_outcome,Hungary
DNK,Q2,ms_h2_2025_ai_diffusion_pct,n_non_binding,28.7,in_sample_descriptive_positioning,False,False,full_preregistered_sample_available_by_outcome,Denmark
DEU,Q2,ms_h2_2025_ai_diffusion_pct,n_non_binding,28.6,in_sample_descriptive_positioning,False,False,full_preregistered_sample_available_by_outcome,Germany
POL,Q2,ms_h2_2025_ai_diffusion_pct,n_non_binding,28.5,in_sample_descriptive_positioning,False,False,full_preregistered_sample_available_by_outcome,Poland
CZE,Q2,ms_h2_2025_ai_diffusion_pct,n_non_binding,27.8,in_sample_descriptive_positioning,False,False,full_preregistered_sample_available_by_outcome,Czech Republic
ITA,Q2,ms_h2_2025_ai_diffusion_pct,n_non_binding,27.8,in_sample_descriptive_positioning,False,False,full_preregistered_sample_available_by_outcome,Italy
BGR,Q2,ms_h2_2025_ai_diffusion_pct,n_non_binding,27.3,in_sample_descriptive_positioning,False,False,full_preregistered_sample_available_by_outcome,Bulgaria
FIN,Q2,ms_h2_2025_ai_diffusion_pct,n_non_binding,27.3,in_sample_descriptive_positioning,False,False,full_preregistered_sample_available_by_outcome,Finland
CRI,Q2,ms_h2_2025_ai_diffusion_pct,n_non_binding,26.5,in_sample_descriptive_positioning,False,False,full_preregistered_sample_available_by_outcome,Costa Rica
CHL,Q2,ms_h2_2025_ai_diffusion_pct,n_non_binding,20.8,in_sample_descriptive_positioning,False,False,full_preregistered_sample_available_by_outcome,Chile
USA,Q2,ms_h2_2025_ai_diffusion_pct,n_non_binding,28.3,in_sample_descriptive_positioning,False,False,full_preregistered_sample_available_by_outcome,United States
CHN,Q2,ms_h2_2025_ai_diffusion_pct,n_non_binding,16.3,in_sample_descriptive_positioning,False,False,full_preregistered_sample_available_by_outcome,China
IND,Q2,ms_h2_2025_ai_diffusion_pct,n_non_binding,15.7,in_sample_descriptive_positioning,False,False,full_preregistered_sample_available_by_outcome,India
JPN,Q2,ms_h2_2025_ai_diffusion_pct,n_non_binding,19.1,in_sample_descriptive_positioning,False,False,full_preregistered_sample_available_by_outcome,Japan
ARG,Q2,ms_h2_2025_ai_diffusion_pct,n_non_binding,19.6,in_sample_descriptive_positioning,False,False,full_preregistered_sample_available_by_outcome,Argentina
BRA,Q2,ms_h2_2025_ai_diffusion_pct,n_non_binding,17.1,in_sample_descriptive_positioning,False,False,full_preregistered_sample_available_by_outcome,Brazil
COL,Q2,ms_h2_2025_ai_diffusion_pct,n_non_binding,22.0,in_sample_descriptive_positioning,False,False,full_preregistered_sample_available_by_outcome,Colombia
MEX,Q2,ms_h2_2025_ai_diffusion_pct,n_non_binding,17.8,in_sample_descriptive_positioning,False,False,full_preregistered_sample_available_by_outcome,Mexico
PER,Q2,ms_h2_2025_ai_diffusion_pct,n_non_binding,14.7,in_sample_descriptive_positioning,False,False,full_preregistered_sample_available_by_outcome,Peru
URY,Q2,ms_h2_2025_ai_diffusion_pct,n_non_binding,22.5,in_sample_descriptive_positioning,False,False,full_preregistered_sample_available_by_outcome,Uruguay
GRC,Q2,ms_h2_2025_ai_diffusion_pct,n_non_binding,19.1,in_sample_descriptive_positioning,False,False,full_preregistered_sample_available_by_outcome,Greece
ROU,Q2,ms_h2_2025_ai_diffusion_pct,n_non_binding,16.2,in_sample_descriptive_positioning,False,False,full_preregistered_sample_available_by_outcome,Romania
HRV,Q2,ms_h2_2025_ai_diffusion_pct,n_non_binding,23.7,in_sample_descriptive_positioning,False,False,full_preregistered_sample_available_by_outcome,Croatia
ARE,Q2,ms_h2_2025_ai_diffusion_pct,iapp_ley_ia_vigente,64.0,in_sample_descriptive_positioning,False,False,full_preregistered_sample_available_by_outcome,United Arab Emirates
SGP,Q2,ms_h2_2025_ai_diffusion_pct,iapp_ley_ia_vigente,60.9,in_sample_descriptive_positioning,False,False,full_preregistered_sample_available_by_outcome,Singapore
NZL,Q2,ms_h2_2025_ai_diffusion_pct,iapp_ley_ia_vigente,40.5,in_sample_descriptive_positioning,False,False,full_preregistered_sample_available_by_outcome,New Zealand
GBR,Q2,ms_h2_2025_ai_diffusion_pct,iapp_ley_ia_vigente,38.9,in_sample_descriptive_positioning,False,False,full_preregistered_sample_available_by_outcome,United Kingdom
AUS,Q2,ms_h2_2025_ai_diffusion_pct,iapp_ley_ia_vigente,36.9,in_sample_descriptive_positioning,False,False,full_preregistered_sample_available_by_outcome,Australia
ISR,Q2,ms_h2_2025_ai_diffusion_pct,iapp_ley_ia_vigente,36.1,in_sample_descriptive_positioning,False,False,full_preregistered_sample_available_by_outcome,Israel
CAN,Q2,ms_h2_2025_ai_diffusion_pct,iapp_ley_ia_vigente,35.0,in_sample_descriptive_positioning,False,False,full_preregistered_sample_available_by_outcome,Canada
KOR,Q2,ms_h2_2025_ai_diffusion_pct,iapp_ley_ia_vigente,30.7,in_sample_descriptive_positioning,False,False,full_preregistered_sample_available_by_outcome,South Korea
