Publication date,Training length (days)
12/31/25,65.5
12/31/25,135
12/30/25,134.9166667
12/30/25,64
11/20/25,56
9/30/25,120
9/1/25,30
7/15/25,133
6/12/25,3
3/22/25,2
3/16/25,90
2/17/25,90
1/20/25,5.4375
10/18/24,30
10/15/24,30
10/10/24,30
10/4/24,13.79166667
7/23/24,89.25
6/14/24,91.66666667
6/13/24,14
6/12/24,4
5/20/24,0.583333333
5/8/24,20
2/26/24,104.1666667
2/23/24,21
12/21/23,7
12/14/23,2
12/6/23,100
11/15/23,19
11/13/23,1.25
11/13/23,12.08333333
11/8/23,2
11/5/23,1
10/30/23,39.16666667
10/26/23,0.458333333
10/11/23,5
10/7/23,0.71875
9/28/23,48
9/6/23,180
8/30/23,0.034708333
8/29/23,25
8/28/23,0.169458333
7/18/23,72
7/6/23,163
7/5/23,64
6/27/23,28
5/11/23,1.5
5/9/23,26.0625
4/26/23,10
4/17/23,0.416666667
4/9/23,24
4/5/23,2.833333333
3/30/23,52.91666667
3/29/23,14
3/27/23,5
3/20/23,100
3/15/23,95
3/15/23,95
3/15/23,60
3/5/23,7
2/24/23,20.83333333
2/10/23,14.475
1/30/23,8.333333333
1/27/23,5
1/15/23,28
1/10/23,272
12/19/22,40
12/4/22,30
11/28/22,20.04166667
11/20/22,8.083333333
11/18/22,2
11/14/22,14.5
10/20/22,5
10/20/22,1.541666667
10/5/22,7
10/4/22,18
9/14/22,30
9/14/22,10
8/4/22,60
8/2/22,120
7/21/22,60
7/11/22,117
7/5/22,21
6/29/22,29
6/14/22,5
5/27/22,14
5/27/22,6.9
5/23/22,4
5/12/22,4
5/10/22,31
5/2/22,33.0625
4/29/22,15
4/14/22,4.666666667
4/13/22,24.4140625
4/4/22,64
2/26/22,41.66666667
2/22/22,0.666666667
2/10/22,28
2/10/22,57.70833333
2/9/22,90
2/2/22,6.133333333
1/7/22,1
12/20/21,21
12/13/21,56.91666667
12/8/21,38.33333333
11/22/21,10
11/11/21,2.875
11/1/21,12
10/11/21,32.08333333
10/4/21,16
9/28/21,14
8/15/21,25
7/29/21,8.145833333
6/28/21,3.308333333
6/23/21,1.875
6/21/21,65.66666667
6/21/21,93.66666667
6/11/21,14.47083333
6/10/21,30
6/9/21,14.79166667
5/20/21,7
4/19/21,35
3/24/21,0.125
3/1/21,11
2/9/21,7
1/15/21,2.208333333
1/11/21,27
1/5/21,12
12/23/20,0.833333333
12/1/20,14
11/30/20,11
10/21/20,7
10/20/20,7
10/2/20,30
9/1/20,0.75
8/3/20,1.25
6/30/20,42
5/28/20,14.8
5/2/20,1.5
3/11/20,9.125
2/21/20,3.5
2/14/20,0.910416667
2/9/20,1.333333333
1/28/20,30
1/19/20,60
1/15/20,5
12/19/19,2.75
12/13/19,296
12/3/19,84
11/11/19,6
11/10/19,1
10/30/19,44
10/23/19,20.07916667
9/17/19,13.625
9/17/19,15.58333333
8/22/19,45
7/1/19,5
5/14/19,1.208333333
4/8/19,1
3/26/19,7
2/27/19,19
12/12/18,7
11/5/18,0.541666667
11/5/18,0.916666667
10/11/18,4
9/28/18,2.791666667
8/28/18,1.15275
6/1/18,30
5/2/18,20.66666667
3/22/18,0.5
2/5/18,4.166666667
2/1/18,0.5
12/5/17,1
10/19/17,3
10/18/17,20
10/6/17,10
8/7/17,1.458333333
7/10/17,60
7/7/17,3.333333333
6/12/17,3.5
1/23/17,12
1/6/17,9.083333333
12/23/16,1
11/5/16,2.5
10/7/16,30
9/17/16,20.83333333
6/16/16,2.5
3/4/16,0.333333333
1/27/16,29
8/7/15,9
5/18/15,0.416666667
4/6/15,2.125
3/17/15,2
2/19/15,1.25
2/6/15,24.5
12/18/14,0.75
11/29/14,0.125
9/14/14,1.666666667
9/10/14,10
9/4/14,21
7/1/14,2
6/18/14,28
12/11/13,10
10/16/13,1
10/1/13,0.208333333
10/1/13,0.625
5/26/13,7
5/26/13,28
1/16/13,14
12/3/12,0.708333333
12/3/12,5
9/30/12,5.5
7/12/12,3
6/3/12,4
6/3/12,0.0625
11/8/11,3
9/18/11,1.75
9/18/11,4.083333333
7/16/11,0.166666667
4/29/11,2
9/26/10,21
6/13/10,1.041666667
