Year,Number of attendees (in thousands),Label
2011,1.493,IJCAI
2013,0.92,IJCAI
2015,1.134,IJCAI
2016,1.671,IJCAI
2017,2.085,IJCAI
2018,2.55,IJCAI
2019,3.015,IJCAI
2021,1.904,IJCAI
2022,2.014,IJCAI
2023,1.988,IJCAI
2024,2.841,IJCAI
2025,2.365,IJCAI
2013,0.518,EMNLP
2015,0.755,EMNLP
2016,0.806,EMNLP
2017,1.233,EMNLP
2018,2.458,EMNLP
2019,1.938,EMNLP
2020,4.069,EMNLP
2021,3.774,EMNLP
2022,3.062,EMNLP
2023,4.14,EMNLP
2024,4.359,EMNLP
2025,6.237,EMNLP
2010,0.918,AAAI
2011,1.108,AAAI
2012,0.934,AAAI
2013,0.807,AAAI
2014,1.019,AAAI
2015,1.38,AAAI
2016,1.289,AAAI
2017,1.838,AAAI
2018,2.251,AAAI
2019,3.227,AAAI
2020,4.884,AAAI
2021,4.086,AAAI
2022,3.56,AAAI
2023,4.474,AAAI
2024,5.149,AAAI
2025,6.289,AAAI
2010,0.955,ACL
2011,1.101,ACL
2012,0.973,ACL
2013,0.987,ACL
2014,1.437,ACL
2015,0.745,ACL
2016,1.649,ACL
2017,1.765,ACL
2018,1.322,ACL
2019,3.283,ACL
2020,3.972,ACL
2021,3.531,ACL
2022,3.491,ACL
2023,4.26,ACL
2024,4.253,ACL
2025,6.329,ACL
2010,2.2,ICRA
2011,1.2,ICRA
2012,1.2,ICRA
2013,1.3,ICRA
2014,1.2,ICRA
2015,1.3,ICRA
2016,1.5,ICRA
2017,2.0,ICRA
2018,3.0,ICRA
2019,3.05,ICRA
2021,1.0,ICRA
2022,8.008,ICRA
2023,6.601,ICRA
2024,7.0,ICRA
2025,7.006,ICRA
2011,1.544,ICCV
2013,1.225,ICCV
2015,1.533,ICCV
2017,2.922,ICCV
2019,7.546,ICCV
2021,5.011,ICCV
2023,7.335,ICCV
2025,7.727,ICCV
2010,0.514,ICML
2011,0.546,ICML
2012,0.744,ICML
2013,0.5,ICML
2014,0.8,ICML
2015,1.2,ICML
2016,3.103,ICML
2017,2.431,ICML
2018,5.023,ICML
2019,6.481,ICML
2020,10.8,ICML
2021,29.537,ICML
2022,7.732,ICML
2023,7.921,ICML
2024,9.095,ICML
2025,8.0,ICML
2010,1.2,IROS
2011,1.556,IROS
2012,1.447,IROS
2013,1.472,IROS
2014,1.615,IROS
2015,2.079,IROS
2016,2.174,IROS
2017,2.678,IROS
2018,3.678,IROS
2019,3.509,IROS
2020,25.719,IROS
2021,2.593,IROS
2022,4.321,IROS
2023,3.655,IROS
2024,5.2,IROS
2025,8.0,IROS
2010,1.306,CVPR
2011,1.496,CVPR
2012,1.811,CVPR
2013,1.991,CVPR
2014,2.061,CVPR
2015,2.75,CVPR
2016,3.606,CVPR
2017,4.976,CVPR
2018,6.512,CVPR
2019,9.227,CVPR
2020,7.5,CVPR
2021,8.237,CVPR
2022,10.169,CVPR
2023,8.337,CVPR
2024,12.0,CVPR
2025,9.375,CVPR
2013,0.105,ICLR
2014,0.176,ICLR
2015,0.369,ICLR
2016,0.449,ICLR
2017,1.224,ICLR
2018,2.0,ICLR
2019,2.72,ICLR
2020,5.6,ICLR
2021,6.306,ICLR
2022,5.346,ICLR
2023,3.758,ICLR
2024,6.533,ICLR
2025,11.039,ICLR
2010,1.354,NeurIPS
2011,1.452,NeurIPS
2012,1.676,NeurIPS
2013,1.994,NeurIPS
2014,2.581,NeurIPS
2015,3.852,NeurIPS
2016,5.231,NeurIPS
2017,8.008,NeurIPS
2018,8.648,NeurIPS
2019,13.0,NeurIPS
2020,22.823,NeurIPS
2021,17.091,NeurIPS
2022,15.39,NeurIPS
2023,16.382,NeurIPS
2024,19.756,NeurIPS
2025,26.382,NeurIPS
